x,y
34.54,127.32
35.05,127.15
34.52,127.27
34.55,127.29
34.52,127.27
35.00,127.23
34.59,127.21
34.55,127.31
34.56,127.31
34.55,127.29
34.56,127.27
34.56,127.29
34.56,127.29
35.06,127.13
34.53,127.29
34.59,127.29
34.57,127.31
34.55,127.32
34.59,127.20
34.59,127.29
34.56,127.27
34.59,127.29
34.58,127.29
34.59,127.29
34.56,127.32
35.06,127.25
34.57,127.29
34.55,127.30
34.58,127.30
34.53,127.26
35.01,127.28
34.56,127.30
34.54,127.31
34.58,127.29
35.06,127.29
34.53,127.30
34.55,127.27
34.59,127.30
34.59,127.30
34.59,127.30
35.00,127.30
34.57,127.29
34.59,127.30
35.02,127.28
34.53,127.28
34.55,127.32
34.53,127.29
34.56,127.29
34.56,127.29
34.56,127.29
35.00,127.26
34.54,127.29
34.59,127.30
35.00,127.30
34.51,127.32
35.02,127.16
34.57,127.29
35.01,127.24
34.54,127.31
34.54,127.31
34.53,127.30
35.00,127.28
34.55,127.28
34.58,127.29
34.52,127.27
34.53,127.28
34.55,127.31
34.58,127.29
35.00,127.26
34.53,127.27
34.57,127.29
34.55,127.27
34.59,127.29
34.53,127.31
34.54,127.29
34.54,127.27
34.56,127.29
34.56,127.32
35.01,127.22
35.01,127.20
35.06,127.26
34.58,127.23
34.54,127.26
35.01,127.26
35.10,127.25
35.07,127.26
34.57,127.29
34.56,127.27
34.54,127.30
34.58,127.13
34.57,127.29
34.53,127.27
35.05,127.24
34.53,127.29
34.57,127.31
34.58,127.32
34.53,127.28
34.58,127.29
34.59,127.30
34.59,127.22
34.54,127.26
34.52,127.27
34.56,127.31
35.00,127.15
34.51,127.29
34.58,127.15
